Currency,Strike,Total_GEX,Total_Abs_Gamma,Daily_Call_Settle,Daily_Call_OI,Daily_Put_Settle,Daily_Put_OI,Global_Call_OI,Global_Put_OI,R68_High,R68_Low,R95_High,R95_Low,Global_Month,Daily_Month,Daily_Expiry,Global_Expiry,Futures_Spot,Gamma_Flip,Gamma_Flip_Status,Quality_Status,Quality_Reasons,Series_Catalog_Version,Spot_Source,Spot_Reference_Month,Spot_Month_Sources,Spot_Observed_Values,Spot_Fallback_Details,IV_Source,IV_Expiry,IV_DTE,IV_Input_Rows,IV_Reference_Strike,IV_Fallback_Reason,Input_Rows,Used_Rows,Excluded_Unknown_Rows,Excluded_Unresolved_Expiry_Rows,Excluded_Expired_Rows,Unknown_Option_Types,Estimated_Expiry_Types,Anomaly_Status,Anomaly_Codes,Anomaly_Details,Anomaly_Baseline_Date
XAU,1850.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4373.885405358951,4262.914594641048,4429.370810717902,4207.4291892820975,DEC26,SEP26,2026-09-25,2026-11-23,4318.4,4279.487511971567,FOUND,DEGRADED,SPOT_MONTH_FALLBACK;UNRESOLVED_EXPIRY;ESTIMATED_EXPIRY_ALIAS,2026-08-02.2,PUT_CALL_PARITY,SEP26,OCT26=PUT_CALL_PARITY;NOV26=PUT_CALL_PARITY;DEC26=PUT_CALL_PARITY;SEP26=PUT_CALL_PARITY;FEB28=PUT_CALL_PARITY;OCT27=SERIES_FORWARD_CLUSTER;JAN27=PUT_CALL_PARITY;JUN27=PUT_CALL_PARITY;FEB27=PUT_CALL_PARITY;MAY27=PUT_CALL_PARITY;MAR27=PUT_CALL_PARITY;APR27=PUT_CALL_PARITY;DEC27=PUT_CALL_PARITY;JUL27=PUT_CALL_PARITY;AUG27=PUT_CALL_PARITY;SEP27=PUT_CALL_PARITY;DEC28=PUT_CALL_PARITY;APR28=SERIES_FORWARD_CLUSTER;JUL28=SERIES_FORWARD_CLUSTER;MAY28=SERIES_FORWARD_CLUSTER;JAN28=PUT_CALL_PARITY,OCT26=4284.8;NOV26=4318.85;DEC26=4319.3;SEP26=4318.4;FEB28=4579.2;OCT27=4008.65;JAN27=4355.9;JUN27=4430.6;FEB27=4356.5;MAY27=4430.95;MAR27=4391.8;APR27=4392;DEC27=4561.7;JUL27=4471;AUG27=4471.1;SEP27=4510.2;DEC28=5539.9;APR28=4625.2;JUL28=4564;MAY28=4600.7;JAN28=5721.3,DEC28=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;JAN28=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER,WEIGHTED_ATM,2026-10-02,6,61,0.0,NONE,5862,5562,0,163,137,NONE,MMG,OK,NONE,NONE,2026-09-23
XAU,1870.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4373.885405358951,4262.914594641048,4429.370810717902,4207.4291892820975,DEC26,SEP26,2026-09-25,2026-11-23,4318.4,4279.487511971567,FOUND,DEGRADED,SPOT_MONTH_FALLBACK;UNRESOLVED_EXPIRY;ESTIMATED_EXPIRY_ALIAS,2026-08-02.2,PUT_CALL_PARITY,SEP26,OCT26=PUT_CALL_PARITY;NOV26=PUT_CALL_PARITY;DEC26=PUT_CALL_PARITY;SEP26=PUT_CALL_PARITY;FEB28=PUT_CALL_PARITY;OCT27=SERIES_FORWARD_CLUSTER;JAN27=PUT_CALL_PARITY;JUN27=PUT_CALL_PARITY;FEB27=PUT_CALL_PARITY;MAY27=PUT_CALL_PARITY;MAR27=PUT_CALL_PARITY;APR27=PUT_CALL_PARITY;DEC27=PUT_CALL_PARITY;JUL27=PUT_CALL_PARITY;AUG27=PUT_CALL_PARITY;SEP27=PUT_CALL_PARITY;DEC28=PUT_CALL_PARITY;APR28=SERIES_FORWARD_CLUSTER;JUL28=SERIES_FORWARD_CLUSTER;MAY28=SERIES_FORWARD_CLUSTER;JAN28=PUT_CALL_PARITY,OCT26=4284.8;NOV26=4318.85;DEC26=4319.3;SEP26=4318.4;FEB28=4579.2;OCT27=4008.65;JAN27=4355.9;JUN27=4430.6;FEB27=4356.5;MAY27=4430.95;MAR27=4391.8;APR27=4392;DEC27=4561.7;JUL27=4471;AUG27=4471.1;SEP27=4510.2;DEC28=5539.9;APR28=4625.2;JUL28=4564;MAY28=4600.7;JAN28=5721.3,DEC28=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;JAN28=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER,WEIGHTED_ATM,2026-10-02,6,61,0.0,NONE,5862,5562,0,163,137,NONE,MMG,OK,NONE,NONE,2026-09-23
XAU,1875.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4373.885405358951,4262.914594641048,4429.370810717902,4207.4291892820975,DEC26,SEP26,2026-09-25,2026-11-23,4318.4,4279.487511971567,FOUND,DEGRADED,SPOT_MONTH_FALLBACK;UNRESOLVED_EXPIRY;ESTIMATED_EXPIRY_ALIAS,2026-08-02.2,PUT_CALL_PARITY,SEP26,OCT26=PUT_CALL_PARITY;NOV26=PUT_CALL_PARITY;DEC26=PUT_CALL_PARITY;SEP26=PUT_CALL_PARITY;FEB28=PUT_CALL_PARITY;OCT27=SERIES_FORWARD_CLUSTER;JAN27=PUT_CALL_PARITY;JUN27=PUT_CALL_PARITY;FEB27=PUT_CALL_PARITY;MAY27=PUT_CALL_PARITY;MAR27=PUT_CALL_PARITY;APR27=PUT_CALL_PARITY;DEC27=PUT_CALL_PARITY;JUL27=PUT_CALL_PARITY;AUG27=PUT_CALL_PARITY;SEP27=PUT_CALL_PARITY;DEC28=PUT_CALL_PARITY;APR28=SERIES_FORWARD_CLUSTER;JUL28=SERIES_FORWARD_CLUSTER;MAY28=SERIES_FORWARD_CLUSTER;JAN28=PUT_CALL_PARITY,OCT26=4284.8;NOV26=4318.85;DEC26=4319.3;SEP26=4318.4;FEB28=4579.2;OCT27=4008.65;JAN27=4355.9;JUN27=4430.6;FEB27=4356.5;MAY27=4430.95;MAR27=4391.8;APR27=4392;DEC27=4561.7;JUL27=4471;AUG27=4471.1;SEP27=4510.2;DEC28=5539.9;APR28=4625.2;JUL28=4564;MAY28=4600.7;JAN28=5721.3,DEC28=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;JAN28=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER,WEIGHTED_ATM,2026-10-02,6,61,0.0,NONE,5862,5562,0,163,137,NONE,MMG,OK,NONE,NONE,2026-09-23
XAU,1900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4373.885405358951,4262.914594641048,4429.370810717902,4207.4291892820975,DEC26,SEP26,2026-09-25,2026-11-23,4318.4,4279.487511971567,FOUND,DEGRADED,SPOT_MONTH_FALLBACK;UNRESOLVED_EXPIRY;ESTIMATED_EXPIRY_ALIAS,2026-08-02.2,PUT_CALL_PARITY,SEP26,OCT26=PUT_CALL_PARITY;NOV26=PUT_CALL_PARITY;DEC26=PUT_CALL_PARITY;SEP26=PUT_CALL_PARITY;FEB28=PUT_CALL_PARITY;OCT27=SERIES_FORWARD_CLUSTER;JAN27=PUT_CALL_PARITY;JUN27=PUT_CALL_PARITY;FEB27=PUT_CALL_PARITY;MAY27=PUT_CALL_PARITY;MAR27=PUT_CALL_PARITY;APR27=PUT_CALL_PARITY;DEC27=PUT_CALL_PARITY;JUL27=PUT_CALL_PARITY;AUG27=PUT_CALL_PARITY;SEP27=PUT_CALL_PARITY;DEC28=PUT_CALL_PARITY;APR28=SERIES_FORWARD_CLUSTER;JUL28=SERIES_FORWARD_CLUSTER;MAY28=SERIES_FORWARD_CLUSTER;JAN28=PUT_CALL_PARITY,OCT26=4284.8;NOV26=4318.85;DEC26=4319.3;SEP26=4318.4;FEB28=4579.2;OCT27=4008.65;JAN27=4355.9;JUN27=4430.6;FEB27=4356.5;MAY27=4430.95;MAR27=4391.8;APR27=4392;DEC27=4561.7;JUL27=4471;AUG27=4471.1;SEP27=4510.2;DEC28=5539.9;APR28=4625.2;JUL28=4564;MAY28=4600.7;JAN28=5721.3,DEC28=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;JAN28=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER,WEIGHTED_ATM,2026-10-02,6,61,0.0,NONE,5862,5562,0,163,137,NONE,MMG,OK,NONE,NONE,2026-09-23
XAU,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4373.885405358951,4262.914594641048,4429.370810717902,4207.4291892820975,DEC26,SEP26,2026-09-25,2026-11-23,4318.4,4279.487511971567,FOUND,DEGRADED,SPOT_MONTH_FALLBACK;UNRESOLVED_EXPIRY;ESTIMATED_EXPIRY_ALIAS,2026-08-02.2,PUT_CALL_PARITY,SEP26,OCT26=PUT_CALL_PARITY;NOV26=PUT_CALL_PARITY;DEC26=PUT_CALL_PARITY;SEP26=PUT_CALL_PARITY;FEB28=PUT_CALL_PARITY;OCT27=SERIES_FORWARD_CLUSTER;JAN27=PUT_CALL_PARITY;JUN27=PUT_CALL_PARITY;FEB27=PUT_CALL_PARITY;MAY27=PUT_CALL_PARITY;MAR27=PUT_CALL_PARITY;APR27=PUT_CALL_PARITY;DEC27=PUT_CALL_PARITY;JUL27=PUT_CALL_PARITY;AUG27=PUT_CALL_PARITY;SEP27=PUT_CALL_PARITY;DEC28=PUT_CALL_PARITY;APR28=SERIES_FORWARD_CLUSTER;JUL28=SERIES_FORWARD_CLUSTER;MAY28=SERIES_FORWARD_CLUSTER;JAN28=PUT_CALL_PARITY,OCT26=4284.8;NOV26=4318.85;DEC26=4319.3;SEP26=4318.4;FEB28=4579.2;OCT27=4008.65;JAN27=4355.9;JUN27=4430.6;FEB27=4356.5;MAY27=4430.95;MAR27=4391.8;APR27=4392;DEC27=4561.7;JUL27=4471;AUG27=4471.1;SEP27=4510.2;DEC28=5539.9;APR28=4625.2;JUL28=4564;MAY28=4600.7;JAN28=5721.3,DEC28=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;JAN28=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER,WEIGHTED_ATM,2026-10-02,6,61,0.0,NONE,5862,5562,0,163,137,NONE,MMG,OK,NONE,NONE,2026-09-23
XAU,2100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4373.885405358951,4262.914594641048,4429.370810717902,4207.4291892820975,DEC26,SEP26,2026-09-25,2026-11-23,4318.4,4279.487511971567,FOUND,DEGRADED,SPOT_MONTH_FALLBACK;UNRESOLVED_EXPIRY;ESTIMATED_EXPIRY_ALIAS,2026-08-02.2,PUT_CALL_PARITY,SEP26,OCT26=PUT_CALL_PARITY;NOV26=PUT_CALL_PARITY;DEC26=PUT_CALL_PARITY;SEP26=PUT_CALL_PARITY;FEB28=PUT_CALL_PARITY;OCT27=SERIES_FORWARD_CLUSTER;JAN27=PUT_CALL_PARITY;JUN27=PUT_CALL_PARITY;FEB27=PUT_CALL_PARITY;MAY27=PUT_CALL_PARITY;MAR27=PUT_CALL_PARITY;APR27=PUT_CALL_PARITY;DEC27=PUT_CALL_PARITY;JUL27=PUT_CALL_PARITY;AUG27=PUT_CALL_PARITY;SEP27=PUT_CALL_PARITY;DEC28=PUT_CALL_PARITY;APR28=SERIES_FORWARD_CLUSTER;JUL28=SERIES_FORWARD_CLUSTER;MAY28=SERIES_FORWARD_CLUSTER;JAN28=PUT_CALL_PARITY,OCT26=4284.8;NOV26=4318.85;DEC26=4319.3;SEP26=4318.4;FEB28=4579.2;OCT27=4008.65;JAN27=4355.9;JUN27=4430.6;FEB27=4356.5;MAY27=4430.95;MAR27=4391.8;APR27=4392;DEC27=4561.7;JUL27=4471;AUG27=4471.1;SEP27=4510.2;DEC28=5539.9;APR28=4625.2;JUL28=4564;MAY28=4600.7;JAN28=5721.3,DEC28=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;JAN28=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER,WEIGHTED_ATM,2026-10-02,6,61,0.0,NONE,5862,5562,0,163,137,NONE,MMG,OK,NONE,NONE,2026-09-23
XAU,2200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4373.885405358951,4262.914594641048,4429.370810717902,4207.4291892820975,DEC26,SEP26,2026-09-25,2026-11-23,4318.4,4279.487511971567,FOUND,DEGRADED,SPOT_MONTH_FALLBACK;UNRESOLVED_EXPIRY;ESTIMATED_EXPIRY_ALIAS,2026-08-02.2,PUT_CALL_PARITY,SEP26,OCT26=PUT_CALL_PARITY;NOV26=PUT_CALL_PARITY;DEC26=PUT_CALL_PARITY;SEP26=PUT_CALL_PARITY;FEB28=PUT_CALL_PARITY;OCT27=SERIES_FORWARD_CLUSTER;JAN27=PUT_CALL_PARITY;JUN27=PUT_CALL_PARITY;FEB27=PUT_CALL_PARITY;MAY27=PUT_CALL_PARITY;MAR27=PUT_CALL_PARITY;APR27=PUT_CALL_PARITY;DEC27=PUT_CALL_PARITY;JUL27=PUT_CALL_PARITY;AUG27=PUT_CALL_PARITY;SEP27=PUT_CALL_PARITY;DEC28=PUT_CALL_PARITY;APR28=SERIES_FORWARD_CLUSTER;JUL28=SERIES_FORWARD_CLUSTER;MAY28=SERIES_FORWARD_CLUSTER;JAN28=PUT_CALL_PARITY,OCT26=4284.8;NOV26=4318.85;DEC26=4319.3;SEP26=4318.4;FEB28=4579.2;OCT27=4008.65;JAN27=4355.9;JUN27=4430.6;FEB27=4356.5;MAY27=4430.95;MAR27=4391.8;APR27=4392;DEC27=4561.7;JUL27=4471;AUG27=4471.1;SEP27=4510.2;DEC28=5539.9;APR28=4625.2;JUL28=4564;MAY28=4600.7;JAN28=5721.3,DEC28=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;JAN28=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER,WEIGHTED_ATM,2026-10-02,6,61,0.0,NONE,5862,5562,0,163,137,NONE,MMG,OK,NONE,NONE,2026-09-23
XAU,2210.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4373.885405358951,4262.914594641048,4429.370810717902,4207.4291892820975,DEC26,SEP26,2026-09-25,2026-11-23,4318.4,4279.487511971567,FOUND,DEGRADED,SPOT_MONTH_FALLBACK;UNRESOLVED_EXPIRY;ESTIMATED_EXPIRY_ALIAS,2026-08-02.2,PUT_CALL_PARITY,SEP26,OCT26=PUT_CALL_PARITY;NOV26=PUT_CALL_PARITY;DEC26=PUT_CALL_PARITY;SEP26=PUT_CALL_PARITY;FEB28=PUT_CALL_PARITY;OCT27=SERIES_FORWARD_CLUSTER;JAN27=PUT_CALL_PARITY;JUN27=PUT_CALL_PARITY;FEB27=PUT_CALL_PARITY;MAY27=PUT_CALL_PARITY;MAR27=PUT_CALL_PARITY;APR27=PUT_CALL_PARITY;DEC27=PUT_CALL_PARITY;JUL27=PUT_CALL_PARITY;AUG27=PUT_CALL_PARITY;SEP27=PUT_CALL_PARITY;DEC28=PUT_CALL_PARITY;APR28=SERIES_FORWARD_CLUSTER;JUL28=SERIES_FORWARD_CLUSTER;MAY28=SERIES_FORWARD_CLUSTER;JAN28=PUT_CALL_PARITY,OCT26=4284.8;NOV26=4318.85;DEC26=4319.3;SEP26=4318.4;FEB28=4579.2;OCT27=4008.65;JAN27=4355.9;JUN27=4430.6;FEB27=4356.5;MAY27=4430.95;MAR27=4391.8;APR27=4392;DEC27=4561.7;JUL27=4471;AUG27=4471.1;SEP27=4510.2;DEC28=5539.9;APR28=4625.2;JUL28=4564;MAY28=4600.7;JAN28=5721.3,DEC28=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;JAN28=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER,WEIGHTED_ATM,2026-10-02,6,61,0.0,NONE,5862,5562,0,163,137,NONE,MMG,OK,NONE,NONE,2026-09-23
XAU,2225.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4373.885405358951,4262.914594641048,4429.370810717902,4207.4291892820975,DEC26,SEP26,2026-09-25,2026-11-23,4318.4,4279.487511971567,FOUND,DEGRADED,SPOT_MONTH_FALLBACK;UNRESOLVED_EXPIRY;ESTIMATED_EXPIRY_ALIAS,2026-08-02.2,PUT_CALL_PARITY,SEP26,OCT26=PUT_CALL_PARITY;NOV26=PUT_CALL_PARITY;DEC26=PUT_CALL_PARITY;SEP26=PUT_CALL_PARITY;FEB28=PUT_CALL_PARITY;OCT27=SERIES_FORWARD_CLUSTER;JAN27=PUT_CALL_PARITY;JUN27=PUT_CALL_PARITY;FEB27=PUT_CALL_PARITY;MAY27=PUT_CALL_PARITY;MAR27=PUT_CALL_PARITY;APR27=PUT_CALL_PARITY;DEC27=PUT_CALL_PARITY;JUL27=PUT_CALL_PARITY;AUG27=PUT_CALL_PARITY;SEP27=PUT_CALL_PARITY;DEC28=PUT_CALL_PARITY;APR28=SERIES_FORWARD_CLUSTER;JUL28=SERIES_FORWARD_CLUSTER;MAY28=SERIES_FORWARD_CLUSTER;JAN28=PUT_CALL_PARITY,OCT26=4284.8;NOV26=4318.85;DEC26=4319.3;SEP26=4318.4;FEB28=4579.2;OCT27=4008.65;JAN27=4355.9;JUN27=4430.6;FEB27=4356.5;MAY27=4430.95;MAR27=4391.8;APR27=4392;DEC27=4561.7;JUL27=4471;AUG27=4471.1;SEP27=4510.2;DEC28=5539.9;APR28=4625.2;JUL28=4564;MAY28=4600.7;JAN28=5721.3,DEC28=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;JAN28=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER,WEIGHTED_ATM,2026-10-02,6,61,0.0,NONE,5862,5562,0,163,137,NONE,MMG,OK,NONE,NONE,2026-09-23
XAU,2235.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4373.885405358951,4262.914594641048,4429.370810717902,4207.4291892820975,DEC26,SEP26,2026-09-25,2026-11-23,4318.4,4279.487511971567,FOUND,DEGRADED,SPOT_MONTH_FALLBACK;UNRESOLVED_EXPIRY;ESTIMATED_EXPIRY_ALIAS,2026-08-02.2,PUT_CALL_PARITY,SEP26,OCT26=PUT_CALL_PARITY;NOV26=PUT_CALL_PARITY;DEC26=PUT_CALL_PARITY;SEP26=PUT_CALL_PARITY;FEB28=PUT_CALL_PARITY;OCT27=SERIES_FORWARD_CLUSTER;JAN27=PUT_CALL_PARITY;JUN27=PUT_CALL_PARITY;FEB27=PUT_CALL_PARITY;MAY27=PUT_CALL_PARITY;MAR27=PUT_CALL_PARITY;APR27=PUT_CALL_PARITY;DEC27=PUT_CALL_PARITY;JUL27=PUT_CALL_PARITY;AUG27=PUT_CALL_PARITY;SEP27=PUT_CALL_PARITY;DEC28=PUT_CALL_PARITY;APR28=SERIES_FORWARD_CLUSTER;JUL28=SERIES_FORWARD_CLUSTER;MAY28=SERIES_FORWARD_CLUSTER;JAN28=PUT_CALL_PARITY,OCT26=4284.8;NOV26=4318.85;DEC26=4319.3;SEP26=4318.4;FEB28=4579.2;OCT27=4008.65;JAN27=4355.9;JUN27=4430.6;FEB27=4356.5;MAY27=4430.95;MAR27=4391.8;APR27=4392;DEC27=4561.7;JUL27=4471;AUG27=4471.1;SEP27=4510.2;DEC28=5539.9;APR28=4625.2;JUL28=4564;MAY28=4600.7;JAN28=5721.3,DEC28=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;JAN28=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER,WEIGHTED_ATM,2026-10-02,6,61,0.0,NONE,5862,5562,0,163,137,NONE,MMG,OK,NONE,NONE,2026-09-23
XAU,2240.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4373.885405358951,4262.914594641048,4429.370810717902,4207.4291892820975,DEC26,SEP26,2026-09-25,2026-11-23,4318.4,4279.487511971567,FOUND,DEGRADED,SPOT_MONTH_FALLBACK;UNRESOLVED_EXPIRY;ESTIMATED_EXPIRY_ALIAS,2026-08-02.2,PUT_CALL_PARITY,SEP26,OCT26=PUT_CALL_PARITY;NOV26=PUT_CALL_PARITY;DEC26=PUT_CALL_PARITY;SEP26=PUT_CALL_PARITY;FEB28=PUT_CALL_PARITY;OCT27=SERIES_FORWARD_CLUSTER;JAN27=PUT_CALL_PARITY;JUN27=PUT_CALL_PARITY;FEB27=PUT_CALL_PARITY;MAY27=PUT_CALL_PARITY;MAR27=PUT_CALL_PARITY;APR27=PUT_CALL_PARITY;DEC27=PUT_CALL_PARITY;JUL27=PUT_CALL_PARITY;AUG27=PUT_CALL_PARITY;SEP27=PUT_CALL_PARITY;DEC28=PUT_CALL_PARITY;APR28=SERIES_FORWARD_CLUSTER;JUL28=SERIES_FORWARD_CLUSTER;MAY28=SERIES_FORWARD_CLUSTER;JAN28=PUT_CALL_PARITY,OCT26=4284.8;NOV26=4318.85;DEC26=4319.3;SEP26=4318.4;FEB28=4579.2;OCT27=4008.65;JAN27=4355.9;JUN27=4430.6;FEB27=4356.5;MAY27=4430.95;MAR27=4391.8;APR27=4392;DEC27=4561.7;JUL27=4471;AUG27=4471.1;SEP27=4510.2;DEC28=5539.9;APR28=4625.2;JUL28=4564;MAY28=4600.7;JAN28=5721.3,DEC28=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;JAN28=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER,WEIGHTED_ATM,2026-10-02,6,61,0.0,NONE,5862,5562,0,163,137,NONE,MMG,OK,NONE,NONE,2026-09-23
XAU,2245.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4373.885405358951,4262.914594641048,4429.370810717902,4207.4291892820975,DEC26,SEP26,2026-09-25,2026-11-23,4318.4,4279.487511971567,FOUND,DEGRADED,SPOT_MONTH_FALLBACK;UNRESOLVED_EXPIRY;ESTIMATED_EXPIRY_ALIAS,2026-08-02.2,PUT_CALL_PARITY,SEP26,OCT26=PUT_CALL_PARITY;NOV26=PUT_CALL_PARITY;DEC26=PUT_CALL_PARITY;SEP26=PUT_CALL_PARITY;FEB28=PUT_CALL_PARITY;OCT27=SERIES_FORWARD_CLUSTER;JAN27=PUT_CALL_PARITY;JUN27=PUT_CALL_PARITY;FEB27=PUT_CALL_PARITY;MAY27=PUT_CALL_PARITY;MAR27=PUT_CALL_PARITY;APR27=PUT_CALL_PARITY;DEC27=PUT_CALL_PARITY;JUL27=PUT_CALL_PARITY;AUG27=PUT_CALL_PARITY;SEP27=PUT_CALL_PARITY;DEC28=PUT_CALL_PARITY;APR28=SERIES_FORWARD_CLUSTER;JUL28=SERIES_FORWARD_CLUSTER;MAY28=SERIES_FORWARD_CLUSTER;JAN28=PUT_CALL_PARITY,OCT26=4284.8;NOV26=4318.85;DEC26=4319.3;SEP26=4318.4;FEB28=4579.2;OCT27=4008.65;JAN27=4355.9;JUN27=4430.6;FEB27=4356.5;MAY27=4430.95;MAR27=4391.8;APR27=4392;DEC27=4561.7;JUL27=4471;AUG27=4471.1;SEP27=4510.2;DEC28=5539.9;APR28=4625.2;JUL28=4564;MAY28=4600.7;JAN28=5721.3,DEC28=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;JAN28=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER,WEIGHTED_ATM,2026-10-02,6,61,0.0,NONE,5862,5562,0,163,137,NONE,MMG,OK,NONE,NONE,2026-09-23
XAU,2250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4373.885405358951,4262.914594641048,4429.370810717902,4207.4291892820975,DEC26,SEP26,2026-09-25,2026-11-23,4318.4,4279.487511971567,FOUND,DEGRADED,SPOT_MONTH_FALLBACK;UNRESOLVED_EXPIRY;ESTIMATED_EXPIRY_ALIAS,2026-08-02.2,PUT_CALL_PARITY,SEP26,OCT26=PUT_CALL_PARITY;NOV26=PUT_CALL_PARITY;DEC26=PUT_CALL_PARITY;SEP26=PUT_CALL_PARITY;FEB28=PUT_CALL_PARITY;OCT27=SERIES_FORWARD_CLUSTER;JAN27=PUT_CALL_PARITY;JUN27=PUT_CALL_PARITY;FEB27=PUT_CALL_PARITY;MAY27=PUT_CALL_PARITY;MAR27=PUT_CALL_PARITY;APR27=PUT_CALL_PARITY;DEC27=PUT_CALL_PARITY;JUL27=PUT_CALL_PARITY;AUG27=PUT_CALL_PARITY;SEP27=PUT_CALL_PARITY;DEC28=PUT_CALL_PARITY;APR28=SERIES_FORWARD_CLUSTER;JUL28=SERIES_FORWARD_CLUSTER;MAY28=SERIES_FORWARD_CLUSTER;JAN28=PUT_CALL_PARITY,OCT26=4284.8;NOV26=4318.85;DEC26=4319.3;SEP26=4318.4;FEB28=4579.2;OCT27=4008.65;JAN27=4355.9;JUN27=4430.6;FEB27=4356.5;MAY27=4430.95;MAR27=4391.8;APR27=4392;DEC27=4561.7;JUL27=4471;AUG27=4471.1;SEP27=4510.2;DEC28=5539.9;APR28=4625.2;JUL28=4564;MAY28=4600.7;JAN28=5721.3,DEC28=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;JAN28=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER,WEIGHTED_ATM,2026-10-02,6,61,0.0,NONE,5862,5562,0,163,137,NONE,MMG,OK,NONE,NONE,2026-09-23
XAU,2260.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4373.885405358951,4262.914594641048,4429.370810717902,4207.4291892820975,DEC26,SEP26,2026-09-25,2026-11-23,4318.4,4279.487511971567,FOUND,DEGRADED,SPOT_MONTH_FALLBACK;UNRESOLVED_EXPIRY;ESTIMATED_EXPIRY_ALIAS,2026-08-02.2,PUT_CALL_PARITY,SEP26,OCT26=PUT_CALL_PARITY;NOV26=PUT_CALL_PARITY;DEC26=PUT_CALL_PARITY;SEP26=PUT_CALL_PARITY;FEB28=PUT_CALL_PARITY;OCT27=SERIES_FORWARD_CLUSTER;JAN27=PUT_CALL_PARITY;JUN27=PUT_CALL_PARITY;FEB27=PUT_CALL_PARITY;MAY27=PUT_CALL_PARITY;MAR27=PUT_CALL_PARITY;APR27=PUT_CALL_PARITY;DEC27=PUT_CALL_PARITY;JUL27=PUT_CALL_PARITY;AUG27=PUT_CALL_PARITY;SEP27=PUT_CALL_PARITY;DEC28=PUT_CALL_PARITY;APR28=SERIES_FORWARD_CLUSTER;JUL28=SERIES_FORWARD_CLUSTER;MAY28=SERIES_FORWARD_CLUSTER;JAN28=PUT_CALL_PARITY,OCT26=4284.8;NOV26=4318.85;DEC26=4319.3;SEP26=4318.4;FEB28=4579.2;OCT27=4008.65;JAN27=4355.9;JUN27=4430.6;FEB27=4356.5;MAY27=4430.95;MAR27=4391.8;APR27=4392;DEC27=4561.7;JUL27=4471;AUG27=4471.1;SEP27=4510.2;DEC28=5539.9;APR28=4625.2;JUL28=4564;MAY28=4600.7;JAN28=5721.3,DEC28=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER;JAN28=GLOBAL_REFERENCE_OUTLIER_SERIES_FORWARD_CLUSTER,WEIGHTED_ATM,2026-10-02,6,61,0.0,NONE,5862,5562,0,163,137,NONE,MMG,OK,NONE,NONE,2026-09-23
