Currency,Strike,Total_GEX,Total_Abs_Gamma,Daily_Call_Settle,Daily_Call_OI,Daily_Put_Settle,Daily_Put_OI,Global_Call_OI,Global_Put_OI,R68_High,R68_Low,R95_High,R95_Low,Global_Month,Daily_Month,Daily_Expiry,Global_Expiry,Futures_Spot,Gamma_Flip,Gamma_Flip_Status,Quality_Status,Quality_Reasons,Series_Catalog_Version,Spot_Source,Spot_Reference_Month,Spot_Month_Sources,Spot_Observed_Values,Spot_Fallback_Details,IV_Source,IV_Expiry,IV_DTE,IV_Input_Rows,IV_Reference_Strike,IV_Fallback_Reason,Input_Rows,Used_Rows,Excluded_Unknown_Rows,Excluded_Unresolved_Expiry_Rows,Excluded_Expired_Rows,Unknown_Option_Types,Estimated_Expiry_Types,Anomaly_Status,Anomaly_Codes,Anomaly_Details,Anomaly_Baseline_Date
SPX,7175.0,-66578679.52407163,118.08935557229054,0.0,0.0,0.0,0.0,0.0,0.0,7800.932309330873,7693.767690669128,7854.514618661745,7640.185381338256,SEP26,AUG26,2026-08-12,2026-09-18,7747.35,7705.975053873443,FOUND,WARN,UNKNOWN_SERIES;ESTIMATED_EXPIRY_ALIAS,2026-08-02.2,PUT_CALL_PARITY,AUG26,AUG26=PUT_CALL_PARITY;SEP26=PUT_CALL_PARITY;OCT26=PUT_CALL_PARITY;NOV26=PUT_CALL_PARITY;DEC26=PUT_CALL_PARITY;JUN27=PUT_CALL_PARITY;APR27=PUT_CALL_PARITY;MAR27=PUT_CALL_PARITY;FEB27=PUT_CALL_PARITY;JAN27=PUT_CALL_PARITY;MAY27=PUT_CALL_PARITY;JUL27=PUT_CALL_PARITY;SEP27=PUT_CALL_PARITY;AUG27=PUT_CALL_PARITY;DEC29=PUT_CALL_PARITY;DEC27=PUT_CALL_PARITY;MAR28=PUT_CALL_PARITY;DEC28=PUT_CALL_PARITY;DEC30=PUT_CALL_PARITY;JUN28=SERIES_FORWARD_CLUSTER,AUG26=7747.35;SEP26=7748.5;OCT26=7813;NOV26=7808.25;DEC26=7876.5;JUN27=8015.25;APR27=7959.5;MAR27=7945.5;FEB27=7879.75;JAN27=7881;MAY27=7963.25;JUL27=8043.875;SEP27=8077.25;AUG27=8051.75;DEC29=8676.5;DEC27=8103.75;MAR28=8179;DEC28=8373.25;DEC30=9151.75;JUN28=6427.25,NONE,WEIGHTED_ATM,2026-08-21,7,600,0.0,NONE,11513,11041,471,0,0,RTM,MDW;MMW;MRW;MTW,OK,NONE,NONE,2026-08-11
SPX,7180.0,-2930144.646759363,4.969262188567748,0.0,0.0,0.0,0.0,0.0,0.0,7800.932309330873,7693.767690669128,7854.514618661745,7640.185381338256,SEP26,AUG26,2026-08-12,2026-09-18,7747.35,7705.975053873443,FOUND,WARN,UNKNOWN_SERIES;ESTIMATED_EXPIRY_ALIAS,2026-08-02.2,PUT_CALL_PARITY,AUG26,AUG26=PUT_CALL_PARITY;SEP26=PUT_CALL_PARITY;OCT26=PUT_CALL_PARITY;NOV26=PUT_CALL_PARITY;DEC26=PUT_CALL_PARITY;JUN27=PUT_CALL_PARITY;APR27=PUT_CALL_PARITY;MAR27=PUT_CALL_PARITY;FEB27=PUT_CALL_PARITY;JAN27=PUT_CALL_PARITY;MAY27=PUT_CALL_PARITY;JUL27=PUT_CALL_PARITY;SEP27=PUT_CALL_PARITY;AUG27=PUT_CALL_PARITY;DEC29=PUT_CALL_PARITY;DEC27=PUT_CALL_PARITY;MAR28=PUT_CALL_PARITY;DEC28=PUT_CALL_PARITY;DEC30=PUT_CALL_PARITY;JUN28=SERIES_FORWARD_CLUSTER,AUG26=7747.35;SEP26=7748.5;OCT26=7813;NOV26=7808.25;DEC26=7876.5;JUN27=8015.25;APR27=7959.5;MAR27=7945.5;FEB27=7879.75;JAN27=7881;MAY27=7963.25;JUL27=8043.875;SEP27=8077.25;AUG27=8051.75;DEC29=8676.5;DEC27=8103.75;MAR28=8179;DEC28=8373.25;DEC30=9151.75;JUN28=6427.25,NONE,WEIGHTED_ATM,2026-08-21,7,600,0.0,NONE,11513,11041,471,0,0,RTM,MDW;MMW;MRW;MTW,OK,NONE,NONE,2026-08-11
SPX,7185.0,-196041.6045760753,0.3266193390763918,0.0,0.0,0.0,0.0,0.0,0.0,7800.932309330873,7693.767690669128,7854.514618661745,7640.185381338256,SEP26,AUG26,2026-08-12,2026-09-18,7747.35,7705.975053873443,FOUND,WARN,UNKNOWN_SERIES;ESTIMATED_EXPIRY_ALIAS,2026-08-02.2,PUT_CALL_PARITY,AUG26,AUG26=PUT_CALL_PARITY;SEP26=PUT_CALL_PARITY;OCT26=PUT_CALL_PARITY;NOV26=PUT_CALL_PARITY;DEC26=PUT_CALL_PARITY;JUN27=PUT_CALL_PARITY;APR27=PUT_CALL_PARITY;MAR27=PUT_CALL_PARITY;FEB27=PUT_CALL_PARITY;JAN27=PUT_CALL_PARITY;MAY27=PUT_CALL_PARITY;JUL27=PUT_CALL_PARITY;SEP27=PUT_CALL_PARITY;AUG27=PUT_CALL_PARITY;DEC29=PUT_CALL_PARITY;DEC27=PUT_CALL_PARITY;MAR28=PUT_CALL_PARITY;DEC28=PUT_CALL_PARITY;DEC30=PUT_CALL_PARITY;JUN28=SERIES_FORWARD_CLUSTER,AUG26=7747.35;SEP26=7748.5;OCT26=7813;NOV26=7808.25;DEC26=7876.5;JUN27=8015.25;APR27=7959.5;MAR27=7945.5;FEB27=7879.75;JAN27=7881;MAY27=7963.25;JUL27=8043.875;SEP27=8077.25;AUG27=8051.75;DEC29=8676.5;DEC27=8103.75;MAR28=8179;DEC28=8373.25;DEC30=9151.75;JUN28=6427.25,NONE,WEIGHTED_ATM,2026-08-21,7,600,0.0,NONE,11513,11041,471,0,0,RTM,MDW;MMW;MRW;MTW,OK,NONE,NONE,2026-08-11
SPX,7190.0,-3899882.192404202,6.857157285790437,0.0,0.0,0.0,0.0,0.0,0.0,7800.932309330873,7693.767690669128,7854.514618661745,7640.185381338256,SEP26,AUG26,2026-08-12,2026-09-18,7747.35,7705.975053873443,FOUND,WARN,UNKNOWN_SERIES;ESTIMATED_EXPIRY_ALIAS,2026-08-02.2,PUT_CALL_PARITY,AUG26,AUG26=PUT_CALL_PARITY;SEP26=PUT_CALL_PARITY;OCT26=PUT_CALL_PARITY;NOV26=PUT_CALL_PARITY;DEC26=PUT_CALL_PARITY;JUN27=PUT_CALL_PARITY;APR27=PUT_CALL_PARITY;MAR27=PUT_CALL_PARITY;FEB27=PUT_CALL_PARITY;JAN27=PUT_CALL_PARITY;MAY27=PUT_CALL_PARITY;JUL27=PUT_CALL_PARITY;SEP27=PUT_CALL_PARITY;AUG27=PUT_CALL_PARITY;DEC29=PUT_CALL_PARITY;DEC27=PUT_CALL_PARITY;MAR28=PUT_CALL_PARITY;DEC28=PUT_CALL_PARITY;DEC30=PUT_CALL_PARITY;JUN28=SERIES_FORWARD_CLUSTER,AUG26=7747.35;SEP26=7748.5;OCT26=7813;NOV26=7808.25;DEC26=7876.5;JUN27=8015.25;APR27=7959.5;MAR27=7945.5;FEB27=7879.75;JAN27=7881;MAY27=7963.25;JUL27=8043.875;SEP27=8077.25;AUG27=8051.75;DEC29=8676.5;DEC27=8103.75;MAR28=8179;DEC28=8373.25;DEC30=9151.75;JUN28=6427.25,NONE,WEIGHTED_ATM,2026-08-21,7,600,0.0,NONE,11513,11041,471,0,0,RTM,MDW;MMW;MRW;MTW,OK,NONE,NONE,2026-08-11
SPX,7195.0,-94592.6208098472,0.1575980739253066,0.0,0.0,0.0,0.0,0.0,0.0,7800.932309330873,7693.767690669128,7854.514618661745,7640.185381338256,SEP26,AUG26,2026-08-12,2026-09-18,7747.35,7705.975053873443,FOUND,WARN,UNKNOWN_SERIES;ESTIMATED_EXPIRY_ALIAS,2026-08-02.2,PUT_CALL_PARITY,AUG26,AUG26=PUT_CALL_PARITY;SEP26=PUT_CALL_PARITY;OCT26=PUT_CALL_PARITY;NOV26=PUT_CALL_PARITY;DEC26=PUT_CALL_PARITY;JUN27=PUT_CALL_PARITY;APR27=PUT_CALL_PARITY;MAR27=PUT_CALL_PARITY;FEB27=PUT_CALL_PARITY;JAN27=PUT_CALL_PARITY;MAY27=PUT_CALL_PARITY;JUL27=PUT_CALL_PARITY;SEP27=PUT_CALL_PARITY;AUG27=PUT_CALL_PARITY;DEC29=PUT_CALL_PARITY;DEC27=PUT_CALL_PARITY;MAR28=PUT_CALL_PARITY;DEC28=PUT_CALL_PARITY;DEC30=PUT_CALL_PARITY;JUN28=SERIES_FORWARD_CLUSTER,AUG26=7747.35;SEP26=7748.5;OCT26=7813;NOV26=7808.25;DEC26=7876.5;JUN27=8015.25;APR27=7959.5;MAR27=7945.5;FEB27=7879.75;JAN27=7881;MAY27=7963.25;JUL27=8043.875;SEP27=8077.25;AUG27=8051.75;DEC29=8676.5;DEC27=8103.75;MAR28=8179;DEC28=8373.25;DEC30=9151.75;JUN28=6427.25,NONE,WEIGHTED_ATM,2026-08-21,7,600,0.0,NONE,11513,11041,471,0,0,RTM,MDW;MMW;MRW;MTW,OK,NONE,NONE,2026-08-11
SPX,7200.0,-362702820.4987557,1152.8774161454785,0.0,0.0,0.0,0.0,0.0,0.0,7800.932309330873,7693.767690669128,7854.514618661745,7640.185381338256,SEP26,AUG26,2026-08-12,2026-09-18,7747.35,7705.975053873443,FOUND,WARN,UNKNOWN_SERIES;ESTIMATED_EXPIRY_ALIAS,2026-08-02.2,PUT_CALL_PARITY,AUG26,AUG26=PUT_CALL_PARITY;SEP26=PUT_CALL_PARITY;OCT26=PUT_CALL_PARITY;NOV26=PUT_CALL_PARITY;DEC26=PUT_CALL_PARITY;JUN27=PUT_CALL_PARITY;APR27=PUT_CALL_PARITY;MAR27=PUT_CALL_PARITY;FEB27=PUT_CALL_PARITY;JAN27=PUT_CALL_PARITY;MAY27=PUT_CALL_PARITY;JUL27=PUT_CALL_PARITY;SEP27=PUT_CALL_PARITY;AUG27=PUT_CALL_PARITY;DEC29=PUT_CALL_PARITY;DEC27=PUT_CALL_PARITY;MAR28=PUT_CALL_PARITY;DEC28=PUT_CALL_PARITY;DEC30=PUT_CALL_PARITY;JUN28=SERIES_FORWARD_CLUSTER,AUG26=7747.35;SEP26=7748.5;OCT26=7813;NOV26=7808.25;DEC26=7876.5;JUN27=8015.25;APR27=7959.5;MAR27=7945.5;FEB27=7879.75;JAN27=7881;MAY27=7963.25;JUL27=8043.875;SEP27=8077.25;AUG27=8051.75;DEC29=8676.5;DEC27=8103.75;MAR28=8179;DEC28=8373.25;DEC30=9151.75;JUN28=6427.25,NONE,WEIGHTED_ATM,2026-08-21,7,600,0.0,NONE,11513,11041,471,0,0,RTM,MDW;MMW;MRW;MTW,OK,NONE,NONE,2026-08-11
SPX,7205.0,-53941.5429807306,0.08987046986901236,0.0,0.0,0.0,0.0,0.0,0.0,7800.932309330873,7693.767690669128,7854.514618661745,7640.185381338256,SEP26,AUG26,2026-08-12,2026-09-18,7747.35,7705.975053873443,FOUND,WARN,UNKNOWN_SERIES;ESTIMATED_EXPIRY_ALIAS,2026-08-02.2,PUT_CALL_PARITY,AUG26,AUG26=PUT_CALL_PARITY;SEP26=PUT_CALL_PARITY;OCT26=PUT_CALL_PARITY;NOV26=PUT_CALL_PARITY;DEC26=PUT_CALL_PARITY;JUN27=PUT_CALL_PARITY;APR27=PUT_CALL_PARITY;MAR27=PUT_CALL_PARITY;FEB27=PUT_CALL_PARITY;JAN27=PUT_CALL_PARITY;MAY27=PUT_CALL_PARITY;JUL27=PUT_CALL_PARITY;SEP27=PUT_CALL_PARITY;AUG27=PUT_CALL_PARITY;DEC29=PUT_CALL_PARITY;DEC27=PUT_CALL_PARITY;MAR28=PUT_CALL_PARITY;DEC28=PUT_CALL_PARITY;DEC30=PUT_CALL_PARITY;JUN28=SERIES_FORWARD_CLUSTER,AUG26=7747.35;SEP26=7748.5;OCT26=7813;NOV26=7808.25;DEC26=7876.5;JUN27=8015.25;APR27=7959.5;MAR27=7945.5;FEB27=7879.75;JAN27=7881;MAY27=7963.25;JUL27=8043.875;SEP27=8077.25;AUG27=8051.75;DEC29=8676.5;DEC27=8103.75;MAR28=8179;DEC28=8373.25;DEC30=9151.75;JUN28=6427.25,NONE,WEIGHTED_ATM,2026-08-21,7,600,0.0,NONE,11513,11041,471,0,0,RTM,MDW;MMW;MRW;MTW,OK,NONE,NONE,2026-08-11
SPX,7210.0,-9066471.426710006,15.224545320658432,0.0,0.0,0.0,0.0,0.0,0.0,7800.932309330873,7693.767690669128,7854.514618661745,7640.185381338256,SEP26,AUG26,2026-08-12,2026-09-18,7747.35,7705.975053873443,FOUND,WARN,UNKNOWN_SERIES;ESTIMATED_EXPIRY_ALIAS,2026-08-02.2,PUT_CALL_PARITY,AUG26,AUG26=PUT_CALL_PARITY;SEP26=PUT_CALL_PARITY;OCT26=PUT_CALL_PARITY;NOV26=PUT_CALL_PARITY;DEC26=PUT_CALL_PARITY;JUN27=PUT_CALL_PARITY;APR27=PUT_CALL_PARITY;MAR27=PUT_CALL_PARITY;FEB27=PUT_CALL_PARITY;JAN27=PUT_CALL_PARITY;MAY27=PUT_CALL_PARITY;JUL27=PUT_CALL_PARITY;SEP27=PUT_CALL_PARITY;AUG27=PUT_CALL_PARITY;DEC29=PUT_CALL_PARITY;DEC27=PUT_CALL_PARITY;MAR28=PUT_CALL_PARITY;DEC28=PUT_CALL_PARITY;DEC30=PUT_CALL_PARITY;JUN28=SERIES_FORWARD_CLUSTER,AUG26=7747.35;SEP26=7748.5;OCT26=7813;NOV26=7808.25;DEC26=7876.5;JUN27=8015.25;APR27=7959.5;MAR27=7945.5;FEB27=7879.75;JAN27=7881;MAY27=7963.25;JUL27=8043.875;SEP27=8077.25;AUG27=8051.75;DEC29=8676.5;DEC27=8103.75;MAR28=8179;DEC28=8373.25;DEC30=9151.75;JUN28=6427.25,NONE,WEIGHTED_ATM,2026-08-21,7,600,0.0,NONE,11513,11041,471,0,0,RTM,MDW;MMW;MRW;MTW,OK,NONE,NONE,2026-08-11
SPX,7215.0,-223137.24559211973,0.3865123384201184,0.0,0.0,0.0,0.0,0.0,0.0,7800.932309330873,7693.767690669128,7854.514618661745,7640.185381338256,SEP26,AUG26,2026-08-12,2026-09-18,7747.35,7705.975053873443,FOUND,WARN,UNKNOWN_SERIES;ESTIMATED_EXPIRY_ALIAS,2026-08-02.2,PUT_CALL_PARITY,AUG26,AUG26=PUT_CALL_PARITY;SEP26=PUT_CALL_PARITY;OCT26=PUT_CALL_PARITY;NOV26=PUT_CALL_PARITY;DEC26=PUT_CALL_PARITY;JUN27=PUT_CALL_PARITY;APR27=PUT_CALL_PARITY;MAR27=PUT_CALL_PARITY;FEB27=PUT_CALL_PARITY;JAN27=PUT_CALL_PARITY;MAY27=PUT_CALL_PARITY;JUL27=PUT_CALL_PARITY;SEP27=PUT_CALL_PARITY;AUG27=PUT_CALL_PARITY;DEC29=PUT_CALL_PARITY;DEC27=PUT_CALL_PARITY;MAR28=PUT_CALL_PARITY;DEC28=PUT_CALL_PARITY;DEC30=PUT_CALL_PARITY;JUN28=SERIES_FORWARD_CLUSTER,AUG26=7747.35;SEP26=7748.5;OCT26=7813;NOV26=7808.25;DEC26=7876.5;JUN27=8015.25;APR27=7959.5;MAR27=7945.5;FEB27=7879.75;JAN27=7881;MAY27=7963.25;JUL27=8043.875;SEP27=8077.25;AUG27=8051.75;DEC29=8676.5;DEC27=8103.75;MAR28=8179;DEC28=8373.25;DEC30=9151.75;JUN28=6427.25,NONE,WEIGHTED_ATM,2026-08-21,7,600,0.0,NONE,11513,11041,471,0,0,RTM,MDW;MMW;MRW;MTW,OK,NONE,NONE,2026-08-11
SPX,7220.0,-5096912.403913276,8.506623340067703,0.0,0.0,0.0,0.0,0.0,0.0,7800.932309330873,7693.767690669128,7854.514618661745,7640.185381338256,SEP26,AUG26,2026-08-12,2026-09-18,7747.35,7705.975053873443,FOUND,WARN,UNKNOWN_SERIES;ESTIMATED_EXPIRY_ALIAS,2026-08-02.2,PUT_CALL_PARITY,AUG26,AUG26=PUT_CALL_PARITY;SEP26=PUT_CALL_PARITY;OCT26=PUT_CALL_PARITY;NOV26=PUT_CALL_PARITY;DEC26=PUT_CALL_PARITY;JUN27=PUT_CALL_PARITY;APR27=PUT_CALL_PARITY;MAR27=PUT_CALL_PARITY;FEB27=PUT_CALL_PARITY;JAN27=PUT_CALL_PARITY;MAY27=PUT_CALL_PARITY;JUL27=PUT_CALL_PARITY;SEP27=PUT_CALL_PARITY;AUG27=PUT_CALL_PARITY;DEC29=PUT_CALL_PARITY;DEC27=PUT_CALL_PARITY;MAR28=PUT_CALL_PARITY;DEC28=PUT_CALL_PARITY;DEC30=PUT_CALL_PARITY;JUN28=SERIES_FORWARD_CLUSTER,AUG26=7747.35;SEP26=7748.5;OCT26=7813;NOV26=7808.25;DEC26=7876.5;JUN27=8015.25;APR27=7959.5;MAR27=7945.5;FEB27=7879.75;JAN27=7881;MAY27=7963.25;JUL27=8043.875;SEP27=8077.25;AUG27=8051.75;DEC29=8676.5;DEC27=8103.75;MAR28=8179;DEC28=8373.25;DEC30=9151.75;JUN28=6427.25,NONE,WEIGHTED_ATM,2026-08-21,7,600,0.0,NONE,11513,11041,471,0,0,RTM,MDW;MMW;MRW;MTW,OK,NONE,NONE,2026-08-11
SPX,7225.0,-56399931.82860284,105.00999562750815,0.0,0.0,0.0,0.0,0.0,0.0,7800.932309330873,7693.767690669128,7854.514618661745,7640.185381338256,SEP26,AUG26,2026-08-12,2026-09-18,7747.35,7705.975053873443,FOUND,WARN,UNKNOWN_SERIES;ESTIMATED_EXPIRY_ALIAS,2026-08-02.2,PUT_CALL_PARITY,AUG26,AUG26=PUT_CALL_PARITY;SEP26=PUT_CALL_PARITY;OCT26=PUT_CALL_PARITY;NOV26=PUT_CALL_PARITY;DEC26=PUT_CALL_PARITY;JUN27=PUT_CALL_PARITY;APR27=PUT_CALL_PARITY;MAR27=PUT_CALL_PARITY;FEB27=PUT_CALL_PARITY;JAN27=PUT_CALL_PARITY;MAY27=PUT_CALL_PARITY;JUL27=PUT_CALL_PARITY;SEP27=PUT_CALL_PARITY;AUG27=PUT_CALL_PARITY;DEC29=PUT_CALL_PARITY;DEC27=PUT_CALL_PARITY;MAR28=PUT_CALL_PARITY;DEC28=PUT_CALL_PARITY;DEC30=PUT_CALL_PARITY;JUN28=SERIES_FORWARD_CLUSTER,AUG26=7747.35;SEP26=7748.5;OCT26=7813;NOV26=7808.25;DEC26=7876.5;JUN27=8015.25;APR27=7959.5;MAR27=7945.5;FEB27=7879.75;JAN27=7881;MAY27=7963.25;JUL27=8043.875;SEP27=8077.25;AUG27=8051.75;DEC29=8676.5;DEC27=8103.75;MAR28=8179;DEC28=8373.25;DEC30=9151.75;JUN28=6427.25,NONE,WEIGHTED_ATM,2026-08-21,7,600,0.0,NONE,11513,11041,471,0,0,RTM,MDW;MMW;MRW;MTW,OK,NONE,NONE,2026-08-11
SPX,7230.0,-5204388.506599802,8.839981082726428,0.0,0.0,0.0,0.0,0.0,0.0,7800.932309330873,7693.767690669128,7854.514618661745,7640.185381338256,SEP26,AUG26,2026-08-12,2026-09-18,7747.35,7705.975053873443,FOUND,WARN,UNKNOWN_SERIES;ESTIMATED_EXPIRY_ALIAS,2026-08-02.2,PUT_CALL_PARITY,AUG26,AUG26=PUT_CALL_PARITY;SEP26=PUT_CALL_PARITY;OCT26=PUT_CALL_PARITY;NOV26=PUT_CALL_PARITY;DEC26=PUT_CALL_PARITY;JUN27=PUT_CALL_PARITY;APR27=PUT_CALL_PARITY;MAR27=PUT_CALL_PARITY;FEB27=PUT_CALL_PARITY;JAN27=PUT_CALL_PARITY;MAY27=PUT_CALL_PARITY;JUL27=PUT_CALL_PARITY;SEP27=PUT_CALL_PARITY;AUG27=PUT_CALL_PARITY;DEC29=PUT_CALL_PARITY;DEC27=PUT_CALL_PARITY;MAR28=PUT_CALL_PARITY;DEC28=PUT_CALL_PARITY;DEC30=PUT_CALL_PARITY;JUN28=SERIES_FORWARD_CLUSTER,AUG26=7747.35;SEP26=7748.5;OCT26=7813;NOV26=7808.25;DEC26=7876.5;JUN27=8015.25;APR27=7959.5;MAR27=7945.5;FEB27=7879.75;JAN27=7881;MAY27=7963.25;JUL27=8043.875;SEP27=8077.25;AUG27=8051.75;DEC29=8676.5;DEC27=8103.75;MAR28=8179;DEC28=8373.25;DEC30=9151.75;JUN28=6427.25,NONE,WEIGHTED_ATM,2026-08-21,7,600,0.0,NONE,11513,11041,471,0,0,RTM,MDW;MMW;MRW;MTW,OK,NONE,NONE,2026-08-11
SPX,7235.0,-336592.9176330721,0.5607878824132267,0.0,0.0,0.0,0.0,0.0,0.0,7800.932309330873,7693.767690669128,7854.514618661745,7640.185381338256,SEP26,AUG26,2026-08-12,2026-09-18,7747.35,7705.975053873443,FOUND,WARN,UNKNOWN_SERIES;ESTIMATED_EXPIRY_ALIAS,2026-08-02.2,PUT_CALL_PARITY,AUG26,AUG26=PUT_CALL_PARITY;SEP26=PUT_CALL_PARITY;OCT26=PUT_CALL_PARITY;NOV26=PUT_CALL_PARITY;DEC26=PUT_CALL_PARITY;JUN27=PUT_CALL_PARITY;APR27=PUT_CALL_PARITY;MAR27=PUT_CALL_PARITY;FEB27=PUT_CALL_PARITY;JAN27=PUT_CALL_PARITY;MAY27=PUT_CALL_PARITY;JUL27=PUT_CALL_PARITY;SEP27=PUT_CALL_PARITY;AUG27=PUT_CALL_PARITY;DEC29=PUT_CALL_PARITY;DEC27=PUT_CALL_PARITY;MAR28=PUT_CALL_PARITY;DEC28=PUT_CALL_PARITY;DEC30=PUT_CALL_PARITY;JUN28=SERIES_FORWARD_CLUSTER,AUG26=7747.35;SEP26=7748.5;OCT26=7813;NOV26=7808.25;DEC26=7876.5;JUN27=8015.25;APR27=7959.5;MAR27=7945.5;FEB27=7879.75;JAN27=7881;MAY27=7963.25;JUL27=8043.875;SEP27=8077.25;AUG27=8051.75;DEC29=8676.5;DEC27=8103.75;MAR28=8179;DEC28=8373.25;DEC30=9151.75;JUN28=6427.25,NONE,WEIGHTED_ATM,2026-08-21,7,600,0.0,NONE,11513,11041,471,0,0,RTM,MDW;MMW;MRW;MTW,OK,NONE,NONE,2026-08-11
SPX,7240.0,-4666887.580502635,7.853919801547171,0.0,0.0,0.0,0.0,0.0,0.0,7800.932309330873,7693.767690669128,7854.514618661745,7640.185381338256,SEP26,AUG26,2026-08-12,2026-09-18,7747.35,7705.975053873443,FOUND,WARN,UNKNOWN_SERIES;ESTIMATED_EXPIRY_ALIAS,2026-08-02.2,PUT_CALL_PARITY,AUG26,AUG26=PUT_CALL_PARITY;SEP26=PUT_CALL_PARITY;OCT26=PUT_CALL_PARITY;NOV26=PUT_CALL_PARITY;DEC26=PUT_CALL_PARITY;JUN27=PUT_CALL_PARITY;APR27=PUT_CALL_PARITY;MAR27=PUT_CALL_PARITY;FEB27=PUT_CALL_PARITY;JAN27=PUT_CALL_PARITY;MAY27=PUT_CALL_PARITY;JUL27=PUT_CALL_PARITY;SEP27=PUT_CALL_PARITY;AUG27=PUT_CALL_PARITY;DEC29=PUT_CALL_PARITY;DEC27=PUT_CALL_PARITY;MAR28=PUT_CALL_PARITY;DEC28=PUT_CALL_PARITY;DEC30=PUT_CALL_PARITY;JUN28=SERIES_FORWARD_CLUSTER,AUG26=7747.35;SEP26=7748.5;OCT26=7813;NOV26=7808.25;DEC26=7876.5;JUN27=8015.25;APR27=7959.5;MAR27=7945.5;FEB27=7879.75;JAN27=7881;MAY27=7963.25;JUL27=8043.875;SEP27=8077.25;AUG27=8051.75;DEC29=8676.5;DEC27=8103.75;MAR28=8179;DEC28=8373.25;DEC30=9151.75;JUN28=6427.25,NONE,WEIGHTED_ATM,2026-08-21,7,600,0.0,NONE,11513,11041,471,0,0,RTM,MDW;MMW;MRW;MTW,OK,NONE,NONE,2026-08-11
SPX,7245.0,1317.2219052076673,0.006583757805289143,0.0,0.0,0.0,0.0,0.0,0.0,7800.932309330873,7693.767690669128,7854.514618661745,7640.185381338256,SEP26,AUG26,2026-08-12,2026-09-18,7747.35,7705.975053873443,FOUND,WARN,UNKNOWN_SERIES;ESTIMATED_EXPIRY_ALIAS,2026-08-02.2,PUT_CALL_PARITY,AUG26,AUG26=PUT_CALL_PARITY;SEP26=PUT_CALL_PARITY;OCT26=PUT_CALL_PARITY;NOV26=PUT_CALL_PARITY;DEC26=PUT_CALL_PARITY;JUN27=PUT_CALL_PARITY;APR27=PUT_CALL_PARITY;MAR27=PUT_CALL_PARITY;FEB27=PUT_CALL_PARITY;JAN27=PUT_CALL_PARITY;MAY27=PUT_CALL_PARITY;JUL27=PUT_CALL_PARITY;SEP27=PUT_CALL_PARITY;AUG27=PUT_CALL_PARITY;DEC29=PUT_CALL_PARITY;DEC27=PUT_CALL_PARITY;MAR28=PUT_CALL_PARITY;DEC28=PUT_CALL_PARITY;DEC30=PUT_CALL_PARITY;JUN28=SERIES_FORWARD_CLUSTER,AUG26=7747.35;SEP26=7748.5;OCT26=7813;NOV26=7808.25;DEC26=7876.5;JUN27=8015.25;APR27=7959.5;MAR27=7945.5;FEB27=7879.75;JAN27=7881;MAY27=7963.25;JUL27=8043.875;SEP27=8077.25;AUG27=8051.75;DEC29=8676.5;DEC27=8103.75;MAR28=8179;DEC28=8373.25;DEC30=9151.75;JUN28=6427.25,NONE,WEIGHTED_ATM,2026-08-21,7,600,0.0,NONE,11513,11041,471,0,0,RTM,MDW;MMW;MRW;MTW,OK,NONE,NONE,2026-08-11
SPX,7250.0,-359436068.8398516,868.833555824081,0.0,0.0,0.0,0.0,0.0,0.0,7800.932309330873,7693.767690669128,7854.514618661745,7640.185381338256,SEP26,AUG26,2026-08-12,2026-09-18,7747.35,7705.975053873443,FOUND,WARN,UNKNOWN_SERIES;ESTIMATED_EXPIRY_ALIAS,2026-08-02.2,PUT_CALL_PARITY,AUG26,AUG26=PUT_CALL_PARITY;SEP26=PUT_CALL_PARITY;OCT26=PUT_CALL_PARITY;NOV26=PUT_CALL_PARITY;DEC26=PUT_CALL_PARITY;JUN27=PUT_CALL_PARITY;APR27=PUT_CALL_PARITY;MAR27=PUT_CALL_PARITY;FEB27=PUT_CALL_PARITY;JAN27=PUT_CALL_PARITY;MAY27=PUT_CALL_PARITY;JUL27=PUT_CALL_PARITY;SEP27=PUT_CALL_PARITY;AUG27=PUT_CALL_PARITY;DEC29=PUT_CALL_PARITY;DEC27=PUT_CALL_PARITY;MAR28=PUT_CALL_PARITY;DEC28=PUT_CALL_PARITY;DEC30=PUT_CALL_PARITY;JUN28=SERIES_FORWARD_CLUSTER,AUG26=7747.35;SEP26=7748.5;OCT26=7813;NOV26=7808.25;DEC26=7876.5;JUN27=8015.25;APR27=7959.5;MAR27=7945.5;FEB27=7879.75;JAN27=7881;MAY27=7963.25;JUL27=8043.875;SEP27=8077.25;AUG27=8051.75;DEC29=8676.5;DEC27=8103.75;MAR28=8179;DEC28=8373.25;DEC30=9151.75;JUN28=6427.25,NONE,WEIGHTED_ATM,2026-08-21,7,600,0.0,NONE,11513,11041,471,0,0,RTM,MDW;MMW;MRW;MTW,OK,NONE,NONE,2026-08-11
